,game,year,genre,publisher,north america,europe,japan,rest of world,global
44,The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,1.24,1.5,0.08,0.54,3.36
45,Watch Dogs 2,2016.0,Action,Ubisoft,0.98,1.74,0.12,0.52,3.36
46,NBA 2K18,2017.0,Sports,2K Sports,2.13,0.57,0.04,0.59,3.34
47,Resident Evil VII: Biohazard,2017.0,Action,Capcom,0.88,1.56,0.41,0.46,3.31
48,Madden NFL 16,2015.0,Sports,EA Sports,2.39,0.31,0.0,0.61,3.3
49,Madden NFL 17,2016.0,Sports,EA Sports,2.3,0.37,0.0,0.6,3.28
50,Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,1.03,1.6,0.05,0.51,3.19
51,Assassin's Creed IV: Black Flag,2013.0,Action-Adventure,Ubisoft,1.07,1.55,0.06,0.51,3.19
52,Tom Clancy's Ghost Recon Wildlands,2017.0,Shooter,Ubisoft,1.07,1.35,0.22,0.47,3.12
53,Bloodborne,2015.0,Role-Playing,Sony Computer Entertainment,1.3,1.05,0.28,0.48,3.11
54,Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.97,1.15,0.5,0.42,3.04
55,Killzone: Shadow Fall,2013.0,Shooter,Sony Computer Entertainment,0.89,1.58,0.08,0.47,3.02
56,inFAMOUS: Second Son,2014.0,Action-Adventure,Sony Computer Entertainment,1.35,1.09,0.07,0.5,3.01
57,Doom (2016),2016.0,Shooter,Bethesda Softworks,0.93,1.48,0.04,0.46,2.92
58,Mafia III,2016.0,Action-Adventure,2K Games,0.72,1.67,0.04,0.44,2.87
59,Diablo III,2014.0,Role-Playing,Blizzard Entertainment,0.83,1.48,0.08,0.44,2.82
60,Far Cry: Primal,2016.0,Action-Adventure,Ubisoft,0.63,1.61,0.07,0.41,2.73
61,Need for Speed (2015),2015.0,Racing,Electronic Arts,0.59,1.66,0.06,0.41,2.72
62,Madden NFL 18,2017.0,Sports,EA Sports,1.73,0.42,0.0,0.47,2.62
63,NBA 2K15,2014.0,Sports,2K Sports,1.49,0.55,0.01,0.44,2.49
64,Dying Light,2015.0,Action,Warner Bros. Interactive,1.18,0.74,0.13,0.4,2.45
65,Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,1.0,0.63,0.44,0.34,2.42
66,Ratchet & Clank (2016),2016.0,Platform,Sony Interactive Entertainment,0.97,0.97,0.06,0.39,2.38
67,DriveClub,2014.0,Racing,Sony Computer Entertainment,0.37,1.63,0.02,0.36,2.37
68,Uncharted: The Lost Legacy,2017.0,Action,Sony Interactive Entertainment,0.58,1.38,0.04,0.36,2.37
69,Dragon Age III: Inquisition,2014.0,Role-Playing,Electronic Arts,1.07,0.8,0.08,0.38,2.34
70,No Man's Sky,2016.0,Action-Adventure,Hello Games,0.89,0.97,0.04,0.37,2.26
71,Madden NFL 15,2014.0,Sports,EA Sports,1.58,0.25,0.0,0.41,2.25
72,Need for Speed: Payback,2017.0,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18
73,Destiny: The Taken King,2015.0,Shooter,Activision,0.97,0.8,0.05,0.36,2.18
74,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17
75,PlayStation VR Worlds,2016.0,Misc,Sony Interactive Entertainment,0.36,1.4,0.09,0.32,2.16
76,Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15
77,Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07
78,LittleBigPlanet 3,2014.0,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06
79,The Elder Scrolls Online,2015.0,MMO,Bethesda Softworks,0.74,0.98,0.0,0.33,2.05
80,Middle-Earth: Shadow of War,2017.0,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04
81,Dragon Quest XI,2017.0,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04
82,Rocket League,2016.0,Sports,505 Games,0.37,1.34,0.0,0.31,2.02
83,Just Cause 3,2015.0,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98
84,Dishonored 2,2016.0,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97
85,Lego Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,1.0,0.01,0.3,1.91
86,Until Dawn,2015.0,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9
87,Knack,2013.0,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88
88,The Evil Within,2014.0,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86
89,The Crew,2014.0,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79
90,Kingdom Hearts 1.5 + 2.5 Remix,2017.0,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75
91,For Honor,2017.0,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75
92,Titanfall 2,2016.0,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72
93,Injustice 2,2017.0,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.0,0.29,1.72
94,NieR Automata,2017.0,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71
95,Tekken 7,2017.0,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7
96,Persona 5,2016.0,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64
97,The Order: 1886,2015.0,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62
98,Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61
99,Detroit: Become Human,2018.0,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57
100,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54
101,NBA 2K14,2013.0,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54
102,Tomb Raider (2013),2014.0,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51
103,Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5
104,Rayman Legends,2014.0,Platform,Ubisoft,0.22,1.05,0.0,0.23,1.5
105,Mass Effect: Andromeda,2017.0,Role-Playing,Electronic Arts,0.58,0.67,0.0,0.25,1.49
106,Dragon Ball Fighter Z,2018.0,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46
107,South Park: The Fractured But Whole,2017.0,Role-Playing,Ubisoft,0.62,0.57,0.0,0.24,1.43
108,The Sims 4,2017.0,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39
109,Street Fighter V,2016.0,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39
110,Wolfenstein II: The New Colossus,2017.0,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36
111,WWE 2K18,2017.0,Sports,2K Sports,0.45,0.67,0.0,0.22,1.33
112,Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31
113,EA Sports UFC 2,2016.0,Sports,EA Sports,0.44,0.65,0.0,0.21,1.31
114,The Last Guardian,2016.0,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29
115,WWE 2K16,2015.0,Sports,Take-Two Interactive,0.43,0.65,0.0,0.21,1.29
116,Borderlands: The Handsome Collection,2015.0,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28
117,Project CARS,2015.0,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28
118,WWE 2K17,2016.0,Sports,2K Games,0.32,0.7,0.0,0.19,1.22
119,Guitar Hero Live,2015.0,Music,Activision,0.52,0.49,0.0,0.2,1.21
120,Metal Gear Solid: Ground Zeroes,2014.0,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2
121,Mad Max (2013),2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2
122,Shadow of the Colossus,2018.0,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2
123,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017.0,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2
124,Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
125,LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18
126,LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
127,WWE 2K15,2014.0,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16
128,MLB The Show 17,2017.0,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16
129,LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
130,The Elder Scrolls V: Skyrim PSVR,2017.0,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
131,LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11
132,EA Sports UFC,2014.0,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
133,Final Fantasy XII: The Zodiac Age,2017.0,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1
134,Alien: Isolation,2014.0,Adventure,Sega,0.29,0.59,0.05,0.16,1.09
135,MLB The Show 18,2018.0,Sports,Sony Interactive Entertainment,0.86,0.0,0.0,0.2,1.06
136,The Evil Within II,2017.0,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
137,Prey (2017),2017.0,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
138,Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04
139,Ni-Oh,2017.0,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03
140,MLB 15: The Show,2015.0,Sports,Sony Computer Entertainment,0.75,0.08,0.0,0.19,1.01
141,Steep,2016.0,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
142,LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
143,Evolve,2015.0,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
144,Injustice: Gods Among Us,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0.0,0.17,0.98
145,EA Sports UFC 3,2018.0,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97
146,Madden NFL 25,2013.0,Sports,EA Sports,0.64,0.15,0.0,0.17,0.96
147,MLB 16: The Show,2016.0,Sports,Sony Computer Entertainment,0.78,0.0,0.0,0.18,0.96
148,Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0.0,0.16,0.94
149,Final Fantasy X/X-2 HD Remaster,2015.0,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9
150,Ni no Kuni II: Revenant Kingdom,2018.0,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89
151,God of War III,2015.0,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89
152,Fortnite,2017.0,Action,Gearbox Software,0.42,0.32,0.0,0.15,0.89
153,LEGO Harry Potter Collection,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0.0,0.13,0.88
154,Minecraft: Story Mode,2015.0,Adventure,Mojang,0.31,0.42,0.0,0.14,0.87
155,BioShock The Collection,2016.0,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
156,Thief 4,2014.0,Action,Square Enix,0.28,0.41,0.03,0.13,0.85
157,Until Dawn: Rush of Blood,2016.0,Shooter,Sony Interactive Entertainment,0.5,0.21,0.0,0.15,0.85
158,Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85
159,Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
160,The Crew 2,2018.0,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
161,Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82
162,ARK: Survival Evolved,2017.0,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
163,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,Action,Square Enix,0.21,0.14,0.39,0.07,0.81
164,Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
165,Final Fantasy XIV: A Realm Reborn,2014.0,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79
166,Destiny: The Collection,2016.0,Shooter,Activision,0.24,0.4,0.02,0.12,0.78
167,F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
168,Hitman (2016),2017.0,Action,Square Enix,0.24,0.36,0.06,0.11,0.78
169,Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76
170,LEGO City Undercover,2017.0,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
171,Pro Evolution Soccer 2018,2017.0,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
172,Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75
173,Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
174,Sniper Elite 3,2014.0,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74
175,MLB 14 The Show,2014.0,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73
176,WipEout Omega Collection,2017.0,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72
177,Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
178,The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
179,Marvel vs. Capcom: Infinite,2017.0,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
180,Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
181,Yakuza 6,2016.0,Adventure,Sega,0.16,0.1,0.38,0.05,0.69
182,F1 2015,2015.0,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
183,METRO 2033,2014.0,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
184,Rocksmith 2014,2014.0,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67
185,NHL 16,2015.0,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66
186,Plants vs Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
187,Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
188,Yakuza Zero: The Place of Oath,2015.0,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
189,One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
190,Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
191,Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63
192,LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62
193,World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
194,F1 2017,2017.0,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
195,NHL 15,2014.0,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62
196,Knowledge is Power,2017.0,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61
197,L.A. Noire,2017.0,Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6
198,Hidden Agenda,2017.0,Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59
199,Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
200,Dragon Quest Builders: Revive Alefgard,2016.0,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
201,The Lego Ninjago Movie Videogame,2017.0,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57
202,Resident Evil: Revelations 2,2015.0,Action,Capcom,0.14,0.25,0.11,0.07,0.57
203,Rock Band 4,2015.0,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57
204,NHL 18,2017.0,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57
205,Everybody's Golf,2017.0,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
206,The Amazing Spider-Man 2 (2014),2014.0,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
207,DOOM VFR,2017.0,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56
208,Sonic Forces,2017.0,Platform,Sega,0.15,0.31,0.01,0.09,0.56
209,Kingdom Come: Deliverance,2018.0,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56
210,Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
211,Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55
212,Rory McIlroy PGA Tour,2015.0,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55
213,Project CARS 2,2017.0,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
214,Skylanders: Trap Team,2014.0,Platform,Activision,0.25,0.18,0.0,0.09,0.52
215,NHL 17,2016.0,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52
216,One Piece: Pirate Warriors 3,2015.0,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
217,DiRT Rally,2016.0,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51
218,Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
219,Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
220,DiRT 4,2017.0,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
221,Farpoint,2017.0,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48
222,Battleborn,2016.0,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
223,A Way Out,2018.0,Action,Electronic Arts,0.23,0.16,0.0,0.08,0.48
224,Friday the 13th: The Game,2017.0,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
225,The Walking Dead: A Telltale Games Series,2014.0,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
226,Wolfenstein: The Old Blood,2015.0,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
227,Deadpool,2015.0,Action,Activision,0.26,0.13,0.0,0.08,0.47
228,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016.0,Action,Square Enix,0.05,0.09,0.3,0.03,0.47
229,TrackMania Turbo,2016.0,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47
230,Knack 2,2017.0,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
231,Just Dance 2014,2013.0,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47
232,Dissidia Final Fantasy NT,2018.0,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46
233,Skylanders: SuperChargers,2015.0,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45
234,Yakuza Kiwami,2016.0,Adventure,Sega,0.13,0.07,0.21,0.04,0.45
235,Tales of Zestiria,2015.0,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45
236,Star Ocean 5: Integrity and Faithlessness,2016.0,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45
237,Sleeping Dogs,2014.0,Action,Square Enix,0.16,0.21,0.0,0.07,0.44
238,Skylanders SWAP Force,2013.0,Misc,Activision,0.23,0.14,0.0,0.08,0.44
239,Skylanders Imaginators,2016.0,Platform,Activision,0.18,0.18,0.0,0.07,0.43
240,Trials Fusion,2014.0,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43
241,Saints Row IV,2015.0,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42
242,Dishonored,2015.0,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42
243,Mirror's Edge 2,2016.0,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42
244,Farming Simulator 2015,2015.0,Simulation,Koch Media,0.13,0.22,0.0,0.07,0.41
245,Just Dance 2015,2014.0,Music,Ubisoft,0.21,0.13,0.0,0.07,0.41
246,Sword Art Online: Hollow Realization,2016.0,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41
247,Just Dance 2016,2015.0,Music,Ubisoft,0.19,0.13,0.0,0.07,0.39
248,Batman: Arkham VR,2016.0,Action,Warner Bros. Interactive Entertainment,0.32,0.0,0.0,0.07,0.39
249,Little Nightmares,2017.0,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39
250,Tropico 5,2015.0,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38
251,Life is Strange,2016.0,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37
252,Resident Evil Zero,2016.0,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37
253,Yakuza Kiwami 2,2017.0,Action,Sega,0.08,0.06,0.19,0.03,0.37
254,Vampyr,2018.0,Role-Playing,Focus Home Interactive,0.12,0.19,0.0,0.06,0.37
255,Okami,2017.0,Action,Capcom,0.16,0.12,0.03,0.06,0.36
256,Sniper: Ghost Warrior 3,2017.0,Shooter,City Interactive,0.14,0.15,0.03,0.06,0.36
257,Hokuto ga Gotoku,2018.0,Action,Sega,0.09,0.05,0.18,0.03,0.36
258,Sword Art Online: Lost Song,2015.0,Role-Playing,Namco Bandai Games,0.19,0.11,0.0,0.06,0.36
259,Disgaea 5: Alliance of Vengeance,2015.0,Role-Playing,NIS America,0.15,0.08,0.07,0.05,0.35
260,Dead or Alive 5,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35
261,Gravity Rush 2,2017.0,Action-Adventure,Sony Interactive Entertainment,0.13,0.05,0.13,0.04,0.35
262,Odin Sphere: Leifthrasir,2016.0,Role-Playing,NIS America,0.14,0.07,0.09,0.04,0.34
263,Divinity: Original Sin,2015.0,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34
264,The King of Fighters XIV,2016.0,Fighting,Deep Silver,0.21,0.02,0.06,0.05,0.34
265,Dishonored: Death of the Outsider,2017.0,Action,Bethesda Softworks,0.1,0.18,0.0,0.05,0.33
266,Valkyria Chronicles,2016.0,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33
267,Murdered: Soul Suspect,2014.0,Action-Adventure,Square Enix,0.09,0.17,0.02,0.05,0.33
268,Payday 2,2015.0,Shooter,505 Games,0.12,0.14,0.0,0.05,0.32
